# z=0.00532
# A_B=0.081,A_V=0.061, A_R=0.081,A_I=0
# FLT,MJD,MAG,MAGERR
R,56406.20,15.09,0.01
V,56406.20,15.52,0.01
B,56407.4717,16.607,0.01
V,56407.4748,15.588,0.01
B,56410.28,16.480,0.01
V,56410.28,15.406,0.01
B,56410.44,16.68,0.01
I,56410.44,14.78,0.01
R,56410.44,15.10,0.01
V,56410.44,15.56,0.01
B,56411.28,16.520,0.01
V,56411.28,15.437,0.01
B,56412.28,16.557,0.01
V,56412.28,15.486,0.01
B,56412.8183,16.692,0.01
V,56412.8227,15.598,0.01
I,56413.40,14.79,0.01
R,56413.40,15.11,0.01
V,56413.40,15.55,0.01
I,56413.77,14.792,0.01
R,56413.77,15.086,0.01
V,56413.77,15.444,0.01
B,56415.27,16.617,0.01
V,56415.27,15.498,0.01
B,56417.44,16.70,0.01
I,56417.44,14.79,0.01
R,56417.44,15.13,0.01
V,56417.44,15.58,0.01
I,56417.75,14.820,0.01
R,56417.75,15.107,0.01
V,56417.75,15.466,0.01
I,56418.76,14.802,0.01
R,56418.76,15.094,0.01
V,56418.76,15.457,0.01
B,56420.27,16.620,0.01
V,56420.27,15.562,0.01
I,56420.79,14.815,0.01
R,56420.79,15.123,0.01
V,56420.79,15.494,0.01
B,56421.38,16.86,0.01
I,56421.38,14.85,0.01
R,56421.38,15.19,0.01
V,56421.38,15.68,0.01
I,56421.72,14.823,0.01
R,56421.72,15.119,0.01
V,56421.72,15.510,0.01
I,56424.74,14.815,0.01
R,56424.74,15.174,0.01
V,56424.74,15.567,0.01
B,56425.24,16.793,0.01
V,56425.24,15.621,0.01
B,56425.44,16.89,0.01
I,56425.44,14.88,0.01
R,56425.44,15.21,0.01
V,56425.44,15.68,0.01
B,56425.7697,16.765,0.01
V,56425.7746,15.751,0.01
B,56427.24,16.874,0.01
V,56427.24,15.653,0.01
B,56428.26,16.827,0.01
V,56428.26,15.597,0.01
B,56428.4972,16.894,0.01
V,56428.5000,15.838,0.01
I,56429.74,14.926,0.01
R,56429.74,15.223,0.01
V,56429.74,15.668,0.01
B,56430.43,17.06,0.01
I,56430.43,14.95,0.01
R,56430.43,15.32,0.01
V,56430.43,15.82,0.01
I,56430.71,14.969,0.01
R,56430.71,15.279,0.01
V,56430.71,15.718,0.01
I,56431.69,14.978,0.01
R,56431.69,15.298,0.01
V,56431.69,15.740,0.01
B,56432.26,17.002,0.01
V,56432.26,15.764,0.01
B,56432.4454,17.195,0.01
V,56432.4493,15.995,0.01
I,56433.72,15.025,0.01
R,56433.72,15.350,0.01
V,56433.72,15.783,0.01
B,56434.23,17.154,0.01
V,56434.23,15.864,0.01
B,56434.72,17.002,0.01
I,56434.72,15.048,0.01
R,56434.72,15.390,0.01
V,56434.72,15.850,0.01
B,56435.73,17.075,0.01
I,56435.73,15.129,0.01
R,56435.73,15.456,0.01
V,56435.73,15.950,0.01
B,56436.74,17.191,0.01
I,56436.74,15.204,0.01
R,56436.74,15.543,0.01
V,56436.74,16.017,0.01
B,56437.23,17.383,0.01
V,56437.23,16.092,0.01
B,56437.40,17.60,0.01
I,56437.40,15.21,0.01
R,56437.40,15.62,0.01
V,56437.40,16.25,0.01
B,56437.83,17.213,0.01
I,56437.83,15.270,0.01
R,56437.83,15.613,0.01
V,56437.83,16.081,0.01
B,56438.72,17.417,0.01
I,56438.72,15.293,0.01
R,56438.72,15.677,0.01
V,56438.72,16.191,0.01
B,56439.23,17.671,0.01
V,56439.23,16.264,0.01
B,56439.70,17.505,0.01
I,56439.70,15.335,0.01
R,56439.70,15.729,0.01
V,56439.70,16.254,0.01
B,56440.76,17.638,0.01
I,56440.76,15.417,0.01
R,56440.76,15.829,0.01
V,56440.76,16.382,0.01
B,56441.23,17.841,0.01
V,56441.23,16.517,0.01
B,56442.23,18.019,0.01
V,56442.23,16.605,0.01
B,56442.4509,18.115,0.01
V,56442.4551,16.845,0.01
B,56442.80,17.844,0.01
R,56442.80,16.004,0.01
V,56442.80,16.594,0.01
B,56443.24,18.170,0.01
V,56443.24,16.736,0.01
B,56443.36,18.38,0.01
I,56443.36,15.65,0.01
R,56443.36,16.12,0.01
V,56443.36,16.87,0.01
B,56444.23,18.259,0.01
V,56444.23,16.800,0.01
B,56445.23,18.485,0.01
V,56445.23,16.894,0.01
B,56447.18,18.599,0.01
V,56447.18,17.113,0.01
I,56447.34,15.99,0.01
V,56447.34,17.30,0.01
R,56447.78,16.399,0.01
V,56447.78,17.048,0.01
I,56449.32,16.05,0.01
V,56449.32,17.38,0.01
B,56450.18,18.700,0.01
V,56450.18,17.207,0.01
B,56453.22,18.806,0.01
V,56453.22,17.278,0.01
I,56454.34,16.20,0.01
R,56454.34,16.73,0.01
V,56454.34,17.60,0.01
V,56455.22,17.316,0.01
I,56455.68,16.146,0.01
R,56455.68,16.632,0.01
V,56455.68,17.291,0.01
I,56456.72,16.161,0.01
R,56456.72,16.627,0.01
V,56456.72,17.293,0.01
B,56457.4211,18.895,0.01
V,56457.4230,17.583,0.01
B,56459.13,18.911,0.01
V,56459.13,17.414,0.01
B,56460.20,18.885,0.01
V,56460.20,17.362,0.01
I,56462.72,16.292,0.01
R,56462.72,16.749,0.01
V,56462.72,17.446,0.01
V,56463.10,17.478,0.01
I,56464.73,16.245,0.01
R,56464.73,16.700,0.01
V,56464.73,17.463,0.01
B,56465.05,18.790,0.01
V,56465.05,17.454,0.01
B,56467.05,19.004,0.01
B,56469.05,18.950,0.01
V,56469.05,17.519,0.01
B,56475.06,18.963,0.01
V,56475.06,17.623,0.01
B,56476.06,18.936,0.01
V,56476.06,17.533,0.01
B,56477.21,18.933,0.01
B,56478.21,19.027,0.01
V,56478.21,17.588,0.01
B,56478.28,19.44,0.01
I,56478.28,16.49,0.01
R,56478.28,16.92,0.01
V,56478.28,17.78,0.01
B,56479.21,18.875,0.01
V,56479.21,17.579,0.01
B,56480.19,18.936,0.01
V,56480.19,17.624,0.01
B,56484.15,18.865,0.01
V,56484.15,17.611,0.01
B,56485.29,19.47,0.01
R,56485.29,16.96,0.01
V,56485.29,17.85,0.01
B,56486.15,18.910,0.01
V,56486.15,17.604,0.01
V,56488.18,17.773,0.01
B,56492.30,19.42,0.01
I,56492.30,16.60,0.01
R,56492.30,17.05,0.01
V,56492.30,17.94,0.01
B,56494.18,19.072,0.01
V,56494.18,17.914,0.01
B,56498.29,19.50,0.01
I,56498.29,16.61,0.01
R,56498.29,17.04,0.01
V,56498.29,17.98,0.01
B,56499.18,19.058,0.01
V,56499.18,17.814,0.01
B,56503.72,19.044,0.01
V,56503.72,17.753,0.01
B,56504.43,19.090,0.01
V,56504.43,17.708,0.01
B,56505.17,19.070,0.01
B,56505.27,19.70,0.01
I,56505.27,16.49,0.01
R,56505.27,17.18,0.01
V,56505.27,18.07,0.01
B,56507.22,19.74,0.01
I,56507.22,16.76,0.01
R,56507.22,17.18,0.01
V,56507.22,18.12,0.01
B,56508.12,19.039,0.01
V,56508.12,17.900,0.01
B,56510.18,19.047,0.01
V,56510.18,17.886,0.01
B,56515.97,19.073,0.01
V,56515.97,18.005,0.01
B,56518.01,19.074,0.01
V,56518.01,18.035,0.01
V,56520.99,18.099,0.01
B,56523.19,19.82,0.01
I,56523.19,16.88,0.01
R,56523.19,17.23,0.01
V,56523.19,18.17,0.01
B,56524.42,19.089,0.01
V,56524.42,18.078,0.01
B,56527.17,19.39,0.01
I,56527.17,16.90,0.01
R,56527.17,17.26,0.01
V,56527.17,18.26,0.01
V,56528.38,18.002,0.01
B,56531.17,19.99,0.01
I,56531.17,16.86,0.01
R,56531.17,17.32,0.01
V,56531.17,18.30,0.01
B,56535.16,20.01,0.01
I,56535.16,16.87,0.01
R,56535.16,17.37,0.01
V,56535.16,18.33,0.01
B,56539.16,19.83,0.01
I,56539.16,17.00,0.01
R,56539.16,17.31,0.01
V,56539.16,18.41,0.01
B,56541.16,19.79,0.01
I,56541.16,17.08,0.01
R,56541.16,17.40,0.01
V,56541.16,18.43,0.01
B,56548.14,19.99,0.01
I,56548.14,17.14,0.01
R,56548.14,17.41,0.01
V,56548.14,18.50,0.01
I,56559.12,17.21,0.01
R,56562.12,17.55,0.01
R,56639.59,18.62,0.01
B,56670.59,21.32,0.01
V,56670.59,19.74,0.01
B,56675.51,21.38,0.01
I,56675.51,18.76,0.01
R,56675.51,18.96,0.01
V,56675.51,19.88,0.01
I,56705.56,19.32,0.01
R,56705.56,19.29,0.01
V,56705.56,20.16,0.01
I,56709.46,19.55,0.01
R,56709.46,19.37,0.01
V,56709.46,19.92,0.01
I,56724.48,19.53,0.01
R,56724.48,19.45,0.01
I,56728.39,19.60,0.01
R,56728.39,19.45,0.01
V,56728.39,19.83,0.01
I,56732.47,19.79,0.01
R,56732.47,19.60,0.01
V,56732.47,20.69,0.01
R,56735.43,19.47,0.01
V,56735.43,20.28,0.01
I,56738.53,19.61,0.01
R,56738.53,19.80,0.01
V,56738.53,20.55,0.01
I,56741.51,19.46,0.01
R,56741.51,19.90,0.01
V,56741.51,20.84,0.01
R,56789.43,20.50,0.01
I,56793.41,20.75,0.01
R,56793.41,20.07,0.01
V,56793.41,20.42,0.01
I,56800.39,20.09,0.01
R,56800.39,20.67,0.01
V,56800.39,20.96,0.01
